word,meaning,example,phonetic
apple,苹果,I have an apple every day.,/ˈæpl/
banana,香蕉,Bananas are rich in potassium.,/bəˈnɑːnə/
cat,猫,The cat is sleeping on the sofa.,/kæt/
dog,狗,Dogs are loyal animals.,/dɒɡ/
book,书,I love reading books.,/bʊk/
computer,电脑,I use a computer for work.,/kəmˈpjuːtə/
student,学生,She is a hardworking student.,/ˈstjuːdnt/
teacher,老师,My teacher is very kind.,/ˈtiːtʃə/
friend,朋友,He is my best friend.,/frend/
family,家庭,I have a happy family.,/ˈfæməli/
school,学校,I go to school every day.,/skuːl/
home,家,I want to go home.,/həʊm/
work,工作,He goes to work at 8 AM.,/wɜːk/
study,学习,I study English every day.,/ˈstʌdi/
play,玩,Children like to play games.,/pleɪ/
eat,吃,I eat breakfast at 7 AM.,/iːt/
drink,喝,She drinks coffee every morning.,/drɪŋk/
sleep,睡觉,I sleep for 8 hours every night.,/sliːp/
wake,醒来,I wake up at 6 AM.,/weɪk/
walk,走路,I walk to school every day.,/wɔːk/
running,跑步,He likes running in the park.,/ˈrʌnɪŋ/
swim,游泳,She swims every weekend.,/swɪm/
jump,跳,The cat can jump high.,/dʒʌmp/
climb,爬,Monkeys like to climb trees.,/klaɪm/
write,写,I write a letter to my friend.,/raɪt/
read,读,She reads a book every night.,/riːd/
speak,说,He speaks English fluently.,/spiːk/
listen,听,I listen to music every day.,/ˈlɪsn/
watch,看,We watch TV in the evening.,/wɒtʃ/
see,看见,I see a bird in the sky.,/siː/
hear,听见,I hear the sound of the wind.,/hɪə/
smell,闻,The flowers smell nice.,/smel/
taste,尝,The food tastes delicious.,/teɪst/
touch,触摸,Don't touch the hot stove.,/tʌtʃ/
feel,感觉,I feel happy today.,/fiːl/
think,想,I think you are right.,/θɪŋk/
know,知道,I know the answer.,/nəʊ/
learn,学习,We learn new things every day.,/lɜːn/
teach,教,She teaches English at school.,/tiːtʃ/
help,帮助,Can you help me?,/help/
love,爱,I love my family.,/lʌv/
hate,恨,I hate rainy days.,/heɪt/nhappy,开心,I am happy today.,/ˈhæpi/
sad,难过,She is sad because she lost her cat.,/sæd/ngood,好,You did a good job.,/ɡʊd/
bad,坏,That's a bad idea.,/bæd/
big,大,The elephant is very big.,/bɪɡ/
small,小,The mouse is very small.,/smɔːl/
tall,高,He is very tall.,/tɔːl/
short,矮,She is short.,/ʃɔːt/
long,长,The river is very long.,/lɒŋ/
short,短,The pencil is short.,/ʃɔːt/
old,老,The old man is walking slowly.,/əʊld/
young,年轻,She is a young girl.,/jʌŋ/
new,新,I have a new car.,/njuː/
old,旧,The book is old.,/əʊld/
beautiful,美丽,The flower is beautiful.,/ˈbjuːtɪfl/
ugly,丑陋,The monster is ugly.,/ˈʌɡli/
fast,快,The car is fast.,/fɑːst/
slow,慢,The turtle is slow.,/sləʊ/
hot,热,It's hot in summer.,/hɒt/
cold,冷,It's cold in winter.,/kəʊld/
warm,温暖,The sun is warm.,/wɔːm/
cool,凉爽,It's cool in autumn.,/kuːl/
wet,湿,The clothes are wet.,/wet/
dry,干,The clothes are dry.,/draɪ/
hard,硬,The rock is hard.,/hɑːd/
soft,软,The pillow is soft.,/sɒft/
heavy,重,The box is heavy.,/ˈhevi/
light,轻,The feather is light.,/laɪt/
full,满,The cup is full.,/fʊl/
empty,空,The cup is empty.,/ˈempti/
many,多,There are many books on the shelf.,/ˈmeni/
few,少,There are few people in the room.,/fjuː/
much,多,There is much water in the glass.,/mʌtʃ/
little,少,There is little water in the glass.,/ˈlɪtl/
some,一些,I have some apples.,/sʌm/
any,任何,Do you have any apples?,/ˈeni/
all,全部,All the students are here.,/ɔːl/
none,没有,None of the students are here.,/nʌn/
both,两者都,Both of them are good.,/bəʊθ/
neither,两者都不,Neither of them is good.,/ˈnaɪðə/
either,或者,You can choose either option.,/ˈaɪðə/
first,第一,He is the first in the race.,/fɜːst/
second,第二,She is the second in the race.,/ˈsekənd/
third,第三,He is the third in the race.,/θɜːd/
last,最后,She is the last in the race.,/lɑːst/
now,现在,I am doing homework now.,/naʊ/
then,然后,Then we went to the park.,/ðen/
today,今天,Today is Sunday.,/təˈdeɪ/
tomorrow,明天,Torrow is Monday.,/təˈmɒrə�nyesterday,昨天,Yesterday was Saturday.,/ˈjestədeɪ/
always,总是,I always brush my teeth.,/ˈɔːlweɪz/
often,经常,She often goes to the park.,/ˈɒfn/
sometimes,有时,I sometimes watch TV.,/ˈsʌmtaɪmz/
never,从不,He never smokes.,/ˈnevə/
also,也,She is also a student.,/ˈɔːlsə/ntoo,也,I like apples too.,/tuː/
either,也（否定）,I don't like apples either.,/ˈaɪðə/
and,和,I like apples and bananas.,/ænd/
or,或者,Do you like apples or bananas?,/ɔː/
but,但是,I like apples but not bananas.,/bʌt/because,因为,I like apples because they are sweet.,/bɪˈkəz/
so,所以,I like apples so I eat them every day.,/səʊ/
if,如果,If it rains, I will stay at home.,/ɪf/
when,当...时,I will call you when I arrive.,/wen/
where,哪里,Where are you going?,/weə/
who,谁,Who is that?,/huː/
what,什么,What are you doing?,/wɒt/
why,为什么,Why are you late?,/waɪ/
how,如何,How are you?,/haʊ/
which,哪个,Which one do you like?,/wɪtʃ/
this,这个,This is my book.,/ðɪs/
that,那个,That is your book.,/ðæt/
these,这些,These are my books.,/ðiːz/
those,那些,Those are your books.,/ðəʊz/
my,我的,This is my book.,/maɪ/
your,你的,That is your book.,/jɔː/
his,他的,This is his book.,/hɪz/
her,她的,That is her book.,/hɜː/
its,它的,The cat is licking its paws.,/ɪts/
our,我们的,This is our book.,/aʊə/
their,他们的,That is their book.,/ðeə/
